car,model,year,price,region,Mileage,Body Style,Engine,Gearbox,Hand Drive,Color,Condition,link,Engine Volume,Horsepower,Engine Cylinders,Drive train,Battery capacity in kW,Number of electric motors,Range
Tesla,Model S ,2022,79000.0,"Armenia, Yerevan",9500.0,Sedan,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3017748,2.5,670,4,AWD 4x4,100.0,2.0,650.0
BMW,i5 ,2023,71760.0,Armenia,23.0,Sedan,Electric,Automatic,Left,Blue,New,https://auto.am/offer/2995882,2.0,252,4,AWD 4x4,105.0,2.0,600.0
Avatr,11,2023,77700.0,Armenia,2500.0,SUV / Truck,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2989833,2.5,200,4,AWD 4x4,1.0,2.0,500.0
Tesla,Model S ,2021,76500.0,"Armenia, Yerevan",15000.0,Sedan,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2991510,2.5,271,4,RWD,100.0,3.0,550.0
Porsche,Taycan ,2021,76000.0,Armenia,50000.0,Sedan,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3032610,2.5,200,4,AWD 4x4,75.0,2.0,450.0
Mercedes-Benz,EQC ,2022,75000.0,Armenia,10.0,SUV / Truck,Electric,Automatic,Left,Black,sell.condition-values.,https://auto.am/offer/3037024,4.0,408,8,AWD 4x4,79.0,2.0,443.0
Tesla,Model S ,2023,75000.0,Armenia,9000.0,Sedan,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2994653,2.5,670,4,AWD 4x4,75.0,2.0,630.0
BMW,iX ,2022,74000.0,"Armenia, Yerevan",16700.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3028807,3.0,330,6,AWD 4x4,240.0,2.0,420.0
Mercedes-Benz,EQE ,2023,73000.0,"Armenia, Yerevan",45.0,SUV / Truck,Electric,Automatic,Left,White,sell.condition-values.,https://auto.am/offer/2999774,2.5,288,4,AWD 4x4,89.0,2.0,595.0
Mercedes-Benz,EQE ,2023,73000.0,"Armenia, Yerevan",40.0,SUV / Truck,Electric,Automatic,Left,Black,sell.condition-values.,https://auto.am/offer/2999771,2.5,288,4,AWD 4x4,89.0,2.0,595.0
Audi,Q5 e-tron ,2023,73000.0,Armenia,98.0,SUV / Truck,Electric,Automatic,Left,White,sell.condition-values.,https://auto.am/offer/3027030,4.0,204,4,RWD,200.0,2.0,560.0
