car,model,year,price,region,Mileage,Body Style,Engine,Gearbox,Hand Drive,Color,Condition,link,Engine Volume,Horsepower,Engine Cylinders,Drive train
Jeep,Wrangler ,2023,91000.0,"Armenia, Yerevan",10.0,SUV / Truck,Gasoline,Automatic,Left,Blue,Excellent,https://auto.am/offer/2794749,3.6,285,6,AWD 4x4
Volkswagen,Passat ,2003,2250.0,"Armenia, Yerevan",200000.0,Sedan,Gasoline and gas,Automatic,Left,Silver,Good,https://auto.am/offer/3036397,2.0,115,4,FWD
BMW,X5 ,2022,90000.0,"Armenia, Ararat",18500.0,SUV / Truck,Gasoline,Automatic,Left,Օther color,Excellent,https://auto.am/offer/3036780,3.0,482,7,AWD 4x4
BMW,750,2021,90000.0,"Armenia, Yerevan",30000.0,Sedan,Gasoline,Automatic,Left,Gray,New,https://auto.am/offer/3033733,3.0,340,6,AWD 4x4
Nissan,Patrol ,2022,90000.0,"Armenia, Yerevan",4600.0,SUV / Truck,Gasoline,Automatic,Left,Gray,Excellent,https://auto.am/offer/3039233,5.6,388,8,AWD 4x4
Mercedes-Benz,G 500 ,2016,90000.0,"Armenia, Yerevan",103000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3030865,5.0,422,8,AWD 4x4
Mercedes-Benz,S 63 AMG ,2016,90000.0,Armenia,174000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2827571,2.0,245,4,RWD
Mercedes-Benz,AMG GT ,2019,90000.0,"Armenia, Yerevan",40000.0,Hatchback,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/3024743,3.0,388,5,AWD 4x4
Mercedes-Benz,G 63 AMG ,2017,90000.0,"Armenia, Yerevan",12345.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3035007,6.3,306,6,AWD 4x4
Mercedes-Benz,GLE 63 S Coupe ,2017,90000.0,"Armenia, Yerevan",84000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3022951,3.5,306,6,AWD 4x4
BMW,X7 ,2019,90000.0,"Armenia, Yerevan",76000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3011409,4.4,530,8,AWD 4x4
Mercedes-Benz,GLE 63 S Coupe ,2018,90000.0,Armenia,50000.0,SUV / Truck,Gasoline,Automatic,Left,Silver,Excellent,https://auto.am/offer/2804260,3.0,306,6,AWD 4x4
BMW,X5 ,2022,90000.0,"Armenia, Yerevan",7000.0,Wagon,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3040726,3.0,482,7,AWD 4x4
Lexus,LX 570 ,2018,90000.0,"Armenia, Yerevan",126000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3023821,5.7,301,8,AWD 4x4
BMW,750,2019,90000.0,"Armenia, Yerevan",45000.0,Sedan,Gasoline,Automatic,Left,Black,sell.condition-values.,https://auto.am/offer/3025138,2.0,258,4,RWD
